id,doc
15,"Years Ago Today: We remember the launch of our very st National Book Festival at the Library and on the grounds of the U.S. Capitol on Sept. , . Read about it here: https:t.coXOeWtXQ NatBookFest otd tih https:t.cojMRDpGzaRo"
16,"Years Later: The Library assembled a Sept. Web Archive of news, government, charity tribute websites related to the attacks their aftermath. View them here: https:t.coozYnRM https:t.coANvdLxEA"
17,"Years Later: We spent a year after the attacks capturing photos, eyewitness accounts personal expressions of grief. View a selection of those collections here: https:t.coAPTyNkPPIB https:t.cottfNSvCtN"
18,"American Prize (,): We Need Diverse Books We Need Diverse Books promotes literacy by increasing access to diverse and inclusive books for young children who otherwise do not find their own backgrounds and experiences reflected in mainstream childrens books."
19,"David M. Rubenstein Prize (,) LaundryCares Foundation provides early literacy programming for kids families in under-resourced communities by transforming frequently visited spaces such as laundromats into welcoming environments for learning."
20,"International Prize (,): Alsama Project Alsama Project partners with the local community to educate and empower teenagers living in Lebanons refugee camps who are often unable to attend Lebanese secondary schools due to low literacy skills."
21,"Kislak Family Foundation Prize (,) Te Rnanga Nui o Ng Kaupapa Mori Inc. was established years ago, when the Mori language was under threat of extinction, and revitalized the language through a network of schools with complete immersion language environments."
22,"years ago this month, the InternetArchive began the complex exhaustive work of preserving archiving the Internet. Weve collaborated with learned from them since starting our own archiving program in . From one web archiving pioneer to another    happy anniversary! https:t.corrrBAcYEvR"
23,") Let your children choose what they want to read. It is important that they have options. ) Don't let reading be a struggle between screen time and book time. In today's world, the two things coexist. The idea is to find balance. Have fun reading!"
24,"years ago today, CDCgov used the term ""AIDS"" for the first time. The Library's American Folklife Center is home to the National AIDS Memorial Quilt Archive, which includes photos tributes to those memorialized on The Quilt, submitted by panel makers."
25,"years after the Civil War, the WPA Federal Writers' Project began interviewing elderly Americans who remembered being enslaved. This collection is at the Library this narrative from Sarah Gudger, age , is just one amazing piece of it. https:t.coRPpERzKD Juneteenth https:t.cotIDAq"
26,"years ago, Harry McAlpin became the first African American reporter to attend a White House presidential press conference. He talks about the honor in this film made by All-American News, which specialized in producing newsreels for Black audiences: https:t.covRqyMN https:t.coENBknBfB"
27,"years ago, the only African American Army infantry division to see combat in Europe in WWII was activated. The Library has a collection of ""All-American News"" reels, the first geared toward Black audiences, which would feature the division's activities. https:t.coPKzRsUwf https:t.coswRlkYFD"
28,"authors will join us at this year's festival the Main Stage will welcome Abby Jimenez, Casey McQuiston, James McBride, Rebecca Yarros, James Patterson, Sandra Cisneros, James S.A. Corey, Doris Kearns Goodwin, Max Greenfield, Tamron Hall Lish Steiling! https:t.conTIVxp"
29,dotORG DarleneCypser Thanks! We love the love
30,"adalimon Limn was born in Sonoma, California and now lives in Lexington, Kentucky. She's is the author of six poetry collections, hosts The Slowdown poetry podcast (slowdownshow) and serves on the faculty of the QueensUniv low-residency MFA program. https:t.coycvRUfgE"
31,alexandregbojko Thank you!
32,".aliciakeys tells us about recording most of her debut album, Songs in A Minor, in a makeshift studio in her tiny Harlem apartment, and how her neighbors clued her in that they could hear every note. The record will be preserved on the NatRecRegistry."
33,"ALooneyVol Thanks, Amy!"
34,amelscript Hello amelscript -- please reach out to newsloc.gov with your inquiries. Thanks!
35,"Amtrak ""It's a Wonderful Life"" has a train! And it's an almost-perfect film, except for the implication that the worst thing that could happen to Mary in a parallel universe is that she's an ""old maid"" who works at the library! We don't like that part."
36,.AndraDayMusic made Hello her own at LionelRichies GershwinPrize concert in March. You can watch the full concert on PBS tonight at c. https:t.coPCtNyCS GershwinPrizePBS https:t.codrIkrA
37,"andtimspeaks It's been a little off-and-on today. Please try again, and always refresh immediately if you get a file-not-found error. Sorry for the inconvenience"
38,archivesfdn
39,arizerg Thanks! We are making plans keeping in touch with local officials to determine when it will be to safe to open for our researchers visitors. We will announce our opening plans broadly on our website at https:t.coccOLKEZr on social media channels.
40,armills Thanks so much! :)
41,"ashleyjordan Thank you, Ashley!"
42,"BeineckeLibrary From one library to another, thank you!"
43,BigBird We will send a save the date for next years party to Sesame Street. Be on the lookout!
44,"bobgeoghegan We're aware of recent performance issues related to select areas of the Library's extensive digital collections, data engines andor web pages. We believe we've corrected the specific issue you cited please try again and see if you continue to experience the problem."
45,"BobSanti Thank you, Bob! :)"
46,.BoyzIIMen channeled the Commodores at LionelRichies GershwinPrize concert in March. What did they sing? Find out on PBS tonight at c. GershwinPrizePBS https:t.coPCtNyCS https:t.coctyiRkJFj
47,brandonmariemil Thank you so much! :)
48,BuchananLibrary Thank you!
49,"CallChiara This event won't have a livestream component, but the discussion will be recorded and posted on https:t.coVkhGoDyP at a later date."
50,"CapitolPolice Aw, thanks! And thank YOU for your loyal service and keeping us, our collections and our patrons safe and secure."
51,"CDHSLibrarian Thanks! We don't think April is the ""cruelest month"" at all, T.S. Eliot notwithstanding."
52,".ChrisStapleton belted a stunning rendition of Say You, Say Me at the GershwinPrize concert in March, honoring LionelRichie. Watch it tonight at c on PBS stations. GershwinPrizePBS"
53,CitizenWald Thanks very much!
54,"cleoroca Well thanks, Carlos!"
55,costellowv Smokingman WVFolklife Also here: https:t.cojvpsgGV :)
56,"dcpl Every day! Well, at least Mon.-Sat., plus Thursday nights. Thanks for the kind wishes, cousin"
57,dgrigar Thank you so much!
58,Drygonstar Only the finest folks share this birthday
59,DuffComics This is the way.
60,"dgheorgheni Thanks so much, Dmitri!"
61,effortfuleduktr
62,"eightmjc Thanks, Mary!"
63,"Eileen Thanks, Eileen! :)"
64,"elisabethleake LibnOfCongress We want to ensure that all Library visitors have a positive experience we sincerely regret that did not happen in your case. Furthermore, this is inconsistent with our policy. Would you consider emailing communicationsloc.gov with more details so we can properly address this?"
65,"elisabethleake LibnOfCongress You should have just received an email to your Tufts address, Dr. Leake."
66,ELitLab Thanks! It's so easy to do when you love your job as much as we do.
67,ellieprice LibnOfCongress garthbrooks trishayearwood It's real: https:t.cocNbwJJXx
68,EmanRimawi Hi -- we make it a practice to make ALL of our event videos displayed on YouTube and https:t.coVkhGoDyP closed captioned. Could you furnish the URL of a video on YouTube that isn't captioned? Thanks. Please email to newsloc.gov
69,EmmieElle Thank you so much!
70,EriksonYoung frenchhorn Thank you!
71,eunyangnbc
72,"Evandbarber We're aware of recent performance issues related to select areas of the Library's extensive digital collections, data engines andor web pages. We believe we've corrected the specific issue you cited please try again and see if you continue to experience the problem."
73,GarfieldNPS Thanks! We are a big fan of our th president as well. Thanks for maintaining his legacy :)
74,Geetanjaliiiii Thanks so much!
75,GibbsGirlAbby sxsw NASA EuropaClipper You can read (or hear Ada read) the poem here: https:t.coIrWwk
76,gichj Thank you so much!
77,GottschalkHaim Mmmmmm.... cake!
78,"GottschalkHaim Thanks, we think so, too!"
79,GovGerry Thank you!
80,".GreenDay began their career on an independent label, but their major label debut Dookie"" brought them to national attention reintroduced a pop-infused punk aesthetic to a music scene in the throes of grunge. NatRecRegistry https:t.cojgcxiHtXeZ"
81,"GreenDay Traditional fiddle mandolin instrumentation strong vocal harmonies proved a powerful combo on Wide Open Spaces, the first major-label release for TheChicks. The unique but unapologetically country album cemented their place in the modern country pantheon. NatRecRegistry https:t.coBDcnvLJxo"
82,"GreenDay Ready to Die was both the debut studio album the only album released by The Notorious B.I.G. before he was murdered in . A landmark of rap hip-hop, it features B.I.G.'s smooth delivery, vivid storytelling, humor, eroticism creative sampling skills. NatRecRegistry https:t.cowCeWFknvQ"
83,"GretaMurphy lmchervinsky jhmullany Thank you for your kind words, Dr. G. We think the world of our researchers can't wait to see you all back in person again!"
84,"HerHistoryatYC Thanks, we can't wait to have you back again!"
85,HistoryAI We were SO young then. ;) Thank you!
86,"historyinlayers TPSMSUDenver Thank you, Peggy, and thanks for all you do to help teachers with our collections!"
87,hksbks levarburton LibnOfCongress Most of the the programs Mr. Burton mentions for our National Book Festival will premiere during the festival timeframe of Sept. -. Full schedule of events (including podcasts) here: https:t.coQcbGcTpxBU
88,HMQLibrary Thank you so much!
89,"HouseAdmDems Wow, thank you so much for the kind words and the COOL graphic! :)"
90,ICComLib Aw thank you! That's so nice of you to say!
91,IllLibraryAssoc Thank you so much!
92,JABell LibnOfCongress That's so kind of you to say! Thank you!
93,".JacksonBrowne's album ""Late for the Sky"" was added to the NatRecRegistry today as a recording of cultural, historical or aesthetic importance to our nation's history. More of this year's additions: https:t.coKFYwoRxh https:t.cofeluvSsknK"
94,JanetCoryell LibnOfCongress You make us BLUSH
95,".JasonReynolds began his ambassadorship in January and had to pivot quickly to a digital tour. This spring, he'll kick off the first in-person leg of the GRAB THE MIC: Tell Your Story tour in Montana. GrabTheMic"
96,.JasonReynolds is the Library's National Ambassador for Young People's Literature. Learn more about his work at the Library here: https:t.coWRdwTBzXq You can see his full conversation with the Post here: https:t.coCKYrWvD
97,".JasonReynolds, the Librarys National Ambassador for Young People's Literature, gets a selfie with a fan. NatBookFest https:t.cobwOtICNlN"
98,jenvargas Thank you!
99,".jimmybuffett's ""Margaritaville"" has spawned an entire lifestyle brand of merchandise, resorts restaurants based around the easy-going, beach-loving, ""no worries"" attitude that the song conveys. Strange to think, then, it was written in a traffic jam! NatRecRegistry https:t.coIGFmrJUmn"
100,"JoaquinCastrotx Wow, this tweet has gotten a lot of replies! We wanted to be sure to share the official NatRecRegistry nomination process form with all interested parties, as well: https:t.coGgtyHjx"
101,"JohnKelly We're aware of recent performance issues related to selected areas of the Library's extensive digital collections, data engines andor web pages. We believe we've corrected the specific issue you cited please try again and see if you continue to experience the problem."
102,".jonimitchell was having a grand old time at the Library, from the moment she arrived to the moment she left."
103,"jowbarne CopyrightOffice Wow, thanks!"
104,".JoyHarjo's time as the rd Poet Laureate Consultant in Poetry to the Library is coming to an end. Her closing event, which she talks about here, is tonight! Tomorrow night, a celebratory outdoor dance party is planned. Here's how to join in the fun."
105,jphoganorg CapitolHistory TY!
106,Justawho We issue Reader Identification Cards! Find out more here: https:t.cocNbwJJXx
107,"kairyssdal Clarification: While the Library of Congress is the venue for the upcoming Justice Ruth Bader Ginsburg Leadership Award ceremony, the award is not otherwise affiliated with the Library. It is presented, and recipients are selected, by the Dwight D. Opperman Foundation."
108,KathyCo LibnOfCongress We often see comments like this when we share this recipe! It seems that a lot of women close to Rosa Parks in age shared a similar handwriting style.
109,KevinMarcou We know a priority when we see one.
110,".ledzeppelin's high-concept Stairway to Heaven () begins with just an acoustic guitar, a recorder Robert Plant's vocals, evolving over minutes into the thunderous rock classic it is, with evocative lyrics that are famously open to interpretation. NatRecRegistry https:t.coZPvtaClByS"
111,lewislibrary This is wonderful! Thank you!
112,LibnOfCongress chefjoseandres taylorswift taylorswift We guess you could say the LibnOfCongress chefjoseandres are ... Dreaming 'bout the day when you wake up and find that what you're looking for has been here the whole time.
113,".LibnOfCongress Carla Hayden on Of the People, a new -year initiative from the Library of Congress to expand and diversify its collection and work with communities of color. More: https:t.coIFCiHIXmj AAHM BlackHistoryMonth"
114,".LibnOfCongress Carla Hayden sat down with KermitTheFrog to hear his thoughts on the addition of ""The Rainbow Connection"" to the National Recording Registry. ""It's a great honor,"" said Kermit. ""And I am thrilled -- I am thrilled -- to be the first frog on the list!"" https:t.cozkognzVcJb"
115,.LibnOfCongress Carla Hayden snapped a selfie with the FirstSelfie while previewing the NotAnOstrich exhibit earlier this week. https:t.cojEWDIVcsT
116,LibnOfCongress
117,"LibrarySeaside Thanks! We are celebrating with a piece of cake and a cup of tea, Earl Gray, hot. ;)"
118,lincolnlady Only the highest-quality folks have a birthday of April ;)
119,".LionelRichie the LibnOfCongress talked All Night Long at the Library, kicking off a series of GershwinPrize events being held this week in Richie's honor. To watch the event in its entirety (and to see what the fist bumping was about) click here: https:t.coMQmYOeYmE https:t.coLxIyQKO"
120,LISVocationeRP Thank you! We're honored and proud to do this job we love.
121,"lmchervinsky You are very kind, thank you!"
122,"loresca Thank you, Vincent -- we're looking forward to that day, too"
123,LotsWhatever Thanks very much!
124,"MaduSomtoo In most cases, clean, dry hands are ideal when working with old documents and books. Gloves can limit finger dexterity and sensitivity, which are both necessary when handling these delicate treasures."
125,".marcmaron's WTFpod launched in and helped legitimize podcasts as a media format. The back catalog contains conversations with hundreds of performers public figures, including BarackObama, but the episode with Robin Williams is the one entering the NatRecRegistry. https:t.coNWMjUYCN"
126,.marcusmumfords favorite memory of jonimitchell involves a margarita bongos. These people know how to have a good time. Join us Friday at p.m. ET on PBS to see for yourself! GershwinPrizePBS https:t.coJoWEzoaxXQ
127,".MariahCarey stopped by the Library last week for a tour to receive a certificate from Santa that commemorates the induction of All I Want For Christmas is You in the NatRecRegistry. Congratulations Merry Christmas, Mariah! https:t.conzdkQjSXBq https:t.codgIYIxXtQ"
128,".MariahCarey wasnt sure about doing a Christmas album so early in her career, but when writing All I Want for Christmas Is You, she channeled all the happy holiday feelings she didn't always get as a kid. Now the song stands alone among modern Christmas tunes. NatRecRegistry https:t.cocQScvZqM"
129,"MarjoriesBuzz Thank you, Marjorie!"
130,MarkJWestpfahl lmchervinsky It's okay. We've ALL done it. :)
131,".MarloThomas set out to make a song-filled record for children in which kids could pictures their lives in new ways, regardless of rigid gender roles. The result was the album ""Free to Be...You Me,"" which was inducted into the NatRecRegistry this year. https:t.coaSjsTXRb"
132,MarthaCreedon We can share cake!
133,"melhozey Thanks, Melissa!"
134,MerriamWebster If we must. https:t.coMMDgQRsec https:t.coDGoLMWkJoX
135,mhenderson Love that cup.
136,MissionaryBLMM lisamurkowski Thank you!!
137,".MitchAlbom was known for writing about sports. Then he wrote ""Tuesdays with Morrie,"" which became a bestselling cultural touchstone about grief loss. He'll be at the NatBookFest on this Saturday, discussing the book's th anniversary its impact."
138,"mollysmcdonough LibnOfCongress Stunning images. Are you interested in donating these items to the Veterans History Project? If so, check out the VHP website to learn more about the process: https:t.coTmrbrYjvC"
139,MrVulcan SecondLife No we do not.
140,"MsGonzalesMJH That's great, April! We have to share a piece of cake together sometime :)"
141,mychalts DollyParton dollyslibrary Literacy icon. We Dolly.
142,"napaxton eastcitybooks Very fine company, indeed!"
143,"ndmrammy After seeing your tweet last week and reviewing the blog in question, we at the Library of Congress agree the post did not appropriately credit your work on the topic. We have opted to remove it, and we hope you will accept our apologies. https:t.coijTOCqJHu"
144,".netflix has released a new video about the making of TickTickBoomMovie. Director LinManuel his team researched the Jonathan Larson papers at the Library to more fully understand the late playwright composer, played in the film by Andrew Garfield. https:t.coCiVCFLWlyO"
145,".NickOfferman loves parks, but did you know he's also a fan of libraries and the LibnOfCongress? NatBookFest"
146,"normullibrarian Thanks, Noreen!"
147,OKWildlifeDept PBS Wait. Is the PBS logo not the bluemangroup their friend watching quality public television together?
148,"OldTimeDC ""Sunday cyclists in East Potomac Park, Washington, D.C."" https:t.coZvLtiXquQ"
149,outofthetowerh :: blush ::
150,ParlCharlie I think that's a very handsome photo. And thanks for your kind words and for your service to our CRS!
151,PerformanceGov
152,peterlafountain Nationals whatwouldDOOdo LibnOfCongress https:t.conweWrnCdC
153,"profwiley Sorry for your inconvenience -- we are having search problems on our website, and are working to correct the problem. Thanks for your patience!"
154,".PropertyBrother, Library of Congress edition? Well, it's going to be a pretty short episode. MrDrewScott had no notes for us on how to improve this space when he visited last weekend. Thanks for stopping by, Drew! https:t.cohnlpplaVTv"
155,Pyynkerton
156,.RankyTanky also won for Best Regional Roots Music Album. The group was LiveAtTheLibrary last summer! https:t.coaxuLycgdWg
157,RCSLibraries Thank you so much!
158,rebeccafachner RSPDC eastcitybooks You can buy them ANDOR check them out at your local library ;)
159,".rickymartin was labeled a Latin crossover king for his platinum hit Livin La Vida Loca, co-written by DesmondChild. Child told us more about the creation of the song, which paved the way for the globalization of Latin pop. NatRecRegistry"
160,RockyResistor LibnOfCongress Thanks for the warm wishes!
161,"runitrunnels withregram Thank you, Andrea -- and best birthday wishes to your mom, too!"
162,rzhongnotes Thanks! You're only as young as. you feel. ;)
163,RTechau Thank you...
164,SamKHarris
165,"SarpongOwens Thank you so much for your kind thoughts, Rosemond"
166,"sesamestreet NASA EuropaClipper adalimon Maps! Moon maps, to be exact. There are lots of amazing maps in the Library's collections, including many of Earth's moon. LibnofCongress Dr. Carla Hayden was just recently taking a look at one of them in the Library's Geography and Map Reading Room. https:t.coLwWItSeyEb"
167,ShariSchwert Oh no!
168,".SJP and Matthew Broderick were in Washington Monday, celebrating the Library's acquisition of Neil Simon's papers. Both are starring in the Broadway revival of Simons Plaza Suite."" If you missed the livestream, watch their conversation on YouTube."
169,SQLMCT Thanks so much!
170,"SteveESpaulding That's so kind of you to say, thank you!"
171,TaniaGillham LibnOfCongress Stay tuned.
172,tbobrowsky PBS NPR BookTV Yes -- find out how to get your poster here: https:t.coXXJwmPs
173,"textilehistory UofMaryland PidaRipley Thank you for the kind words! You are welcome back anytime ... well, as soon as we are back open, of course."
174,"thamasd As a federal institution, the Library is usually closed on federal holidays."
175,"TheGershster We're aware of recent performance issues related to select areas of the Library's extensive digital collections, data engines andor web pages. We believe we've corrected the specific issue you cited please try again and see if you continue to experience the problem."
176,"TimothyJShaw loc Thanks, Timothy!"
177,Titan lmchervinsky You make us blush.
178,"truelibrarian Wow, thanks!"
179,"TuneTalks Thanks, Jeann!"
180,UIAITS We did know that! :)
181,UniteCopyright Thank you! Copyright is near and dear to our hearts ;)
182,USEmbassyFrance Merci! :)
183,"USGPO LibnOfCongress Thanks, cousin! We appreciate everything you do to serve our nation, too!"
184,usmint ANACoins ArchNYArchives We remember those coins. They were really terrific. Thanks!
185,".USNatArchives has the handwritten signed copy of the Declaration. The Library has two of the older, typeset copies made at a Philadelphia print shop on July th th, . Just of copies made in this first printing are known to still exist. https:t.cokdqWzVD"
186,"VABVOX This is incorrect. The Library of Congress is the venue for the upcoming Justice Ruth Bader Ginsburg Leadership Award ceremony, but the award is not otherwise affiliated with the Library. It is presented, and recipients are selected, by the Dwight D. Opperman Foundation."
187,ValerieGuillar It is from .
188,"vdavies DSRGenealogist Trying checking in with our Ask A Librarian service, Valerie. https:t.coJbJqLwK"
189,wmata Mt Vernon Sq th St-Convention Center NatBookFest
190,".WNYCs studios were just blocks away from the World Trade Center and its transmitters were actually on top of the towers. As the horrors of unfolded, WNYC remained on-air even after its signal had to be re-routed. Those broadcasts will be preserved in the NatRecRegistry. https:t.cohbwysRMxS"
191,WRLibrary Thank you!
192,YesIAmDoingThis Thank you!
193,YSJAmStuds Thanks! :)
194,"ZambranaML Thanks for this info! After reading your comment, we were able to find the entire Advertising Selling article in the Librarys general collection stacks. If you email printsandphotosask.loc.gov, we can send it to you!"
195,"A ""global"" success story for WomensHistoryMonth. In the s, governess Ellen Eliza Fitz imagined a globe mount that would help her students understand Earths rotations revolutions. She was granted a patent in . Why her invention was so special: https:t.coxSmHWrd https:t.coHHPVHCbyS"
196,"A ""miracle"" map newly donated to the Library belonged to Joseph P. Vaghi Jr., a Navy Beachmaster"" on D-Day. His job, at the tender age of , was to direct the traffic of thousands of men tons of equipment pouring onto Omaha Beach amid enemy fire."
197,"A HERstory alert ahead of Veterans Day: Let's take a moment to remember the Women Airforce Service Pilots, or WASPs. They were the first American women trained to fly military aircraft, but were considered civil servants at the time, not military. https:t.cosuKVvlrGe"
198,"A episode of ""This American Life"" has been added to the NatRecRegistry, marking the first podcast inducted into the registry. iraglass has led ThisAmerLife from its inception on public radio to becoming one of the nation's most popular podcasts. https:t.coUppuxMkzq"
199,"A archeological find in South Africa led scientists to believe that egg decoration as an art form may be more than , years old. https:t.coKntWcmq https:t.coVPHjHhHUiS"
200,"A highlight at the Library: A new, multiyear initiative to connect more deeply with Black, Hispanic, Indigenous and other minority communities was announced in January. Learn more about Of the People: Widening the Path. https:t.coTVeDXzEUY https:t.cobZAAzvfV"
201,"A big thank you to our country's nurses, today and every day! The Health Services Division at the Library of Congress has a remarkable group of nurses that are helping to keep on-site Library staff safe during the pandemic. NationalNursesWeek https:t.coVdOiyDHx https:t.coqJvkJbqydV"
202,"A catastrophic volcanic eruption in Indonesia in had an otherworldly effect on the sky, globally, for months. Some say the eerie phenomenon inspired Edvard Munch's iconic painting, ""The Scream."" Learn more from the newspaper reports of the time. https:t.coRKrhjC https:t.coPEdsN"
203,A codex recently acquired by the Library    the San Salvador Huejotzingo Codex    contains new details about the earliest legal structures in Mexico after Spanish colonization the way Indigenous people used Spanish law to defend their rights.
204,A cool bonus that came along with a recently digitized ambrotype in the Library's Liljenquist Family Collection of Civil War Photographs: This torn yellow star is a regimental flag. It was with the image in the leather photo case. More from the collection: https:t.codTQAizdA https:t.coAFFWHO
205,"A cool story about one of the folks helping make our Festival of Film Sound (June - at AFISilver) special! Jon Mirsalis's day job involves developing anti-infective drugs for clinical trials, but he's also an accomplished silent film accompanist. https:t.coNdqhydMBom"
206,"A cute fact from the DeptofDefense: Animals haven't been eligible for the award since but Sgt. Stubby (pictured), a stray dog smuggled to Europe by the nd Infantry Regiment, earned the Purple Heart twice during World War I for injuries from a a gas attack a grenade. https:t.coSneQFUblmq"
207,"A Festival for Families: Children, teens and families will find a full schedule of free activities at the Library of Congress National Book Festival on Saturday, Sept. . More: https:t.coVSITAMJ https:t.colVyec"
208,"A few months before her father King George VI died in February , Princess Elizabeth her husband Prince Philip, Duke of Edinburgh, were hosted in Washington by President Truman and his family. On that trip, her first to the United States, she also visited the Library. https:t.coBktjYOm"
209,"A flower for Tina. This Ernest Withers photo of Tina Turner, currently on display at the Library's Not An Ostrich photography exhibition, is larger than life. Just like she was. May she rest in peace. https:t.cougaToEK"
210,"A flute lizzo played in the Main Reading Room Monday (with permission from some lucky researchers who were there!) looks similar to the crystal one she had at her concert, but is actually plexiglass. It is also very rare was manufactured when the material was first invented. https:t.coiDNdQV"
211,A full list of the National Recording Registry inductees. See the entire NatRecRegistry and learn more about the program: https:t.coqiUkJBJ https:t.coPrRJHIbG
212,"A fun story about the Library in sciam this week includes this mind-blowing fact: ""...as of , the library held about petabytes of digital information...Converted into DVDs, that would be about million disks. And if those disks were stacked atop one another, they would tower miles higha span equivalent to about Empire State Buildings."""
213,"A fun tidbit on page two: The famous Radio City Rockettes performed in the inaugural show, but at that time they were still called the ""Roxyettes."" The Roxy Theatre is where they performed prior to calling Radio City home. The full program: https:t.cotPCZvMEa https:t.coyNavGAx"
214,"A highlight: Thirteen minutes in, Russell talks about hearing in that Wilt Chamberlain had just become the first NBA player to sign a , contract. ""Well I know what I want,"" he told Red Auerbach. ""A hundred thousand and one dollar."" https:t.comIWWdXeaqd https:t.comRwHDeKN"
215,"A historic event is happening at the Library this Thursday. You can be there, too. For the first time in public, U.S. Poet Laureate adalimon will read the poem she wrote for NASA to send to space. Join us for happy hour, space talk poetry. https:t.coltLDwhFvsD https:t.covweVrkDF"
216,"A July , Frederick Douglass speech still resonates today: ""What, to the American slave, is your th of July? I answer; a day that reveals to him, more than all other days in the year, the gross injustice cruelty to which he is the constant victim."" https:t.coEeUhpjbd https:t.coiWgiXjbLk"
217,"A Library initiative has awarded funding to projects with creative approaches to the Librarys digital collections that center Black, Indigenous HispanicLatino Studies. The teams will present at the upcoming Summer Fuse event. Learn more: https:t.coVNDGoPSLZO https:t.covVGsbKvR"
218,"A list of other active, official Library of Congress Twitter accounts, aside from this one: LibnOfCongress ChronAmLOC congressdotgov CopyrightOffice CrowdLOC EventsLOC KlugeCtr LawLibCongress LCLabs LOCAV LOCMaps TeachingLC"
219,A lot goes into preserving fragile and historic items that are on view for the public. The anoxic (low-oxygen) display case at the Library that holds the Waldseemller map is the largest in the world. Here's how it works: https:t.coOuZGyIraO https:t.cofmISLMZnN
220,"A lot of you have asked us about our mold remediation routine, so here it is! https:t.coHHRMZPDAP"
221,"A lot of you saw the aurora borealis for the first time last night, but do you know what causes the dazzling phenomenon? If not, you're in luck. The northern lights are the subject of one of the Library's Everyday Mysteries pages. https:t.coWUyjJXYq"
222,"A major portion of the processed records of the NAACP Legal Defense and Educational Fund are now available online for the first time. Spanning -, the records document the organizations work to combat racial discrimination in the nations courts. https:t.cofLaFDZxZi"
223,"A major, -month celebration of Library of Congress Concerts continues this fall, marking a century of extraordinary music at the nations library. And did we mention that all the programming is free?"
224,"A May letter to Walt Whitman from H.M. Alden, then-editor of Harper's Monthly Magazine, reads in part: ""It does not seem to me that 'Fancies at the Navesink' will make a favorable impression upon our readers."" https:t.coUAxxRFS"
225,A message from LibnOfCongress Dr. Carla Hayden in honor of Public Service Recognition Week. Join the Library in celebrating the contributions of our country's public servants all month long. GovPossible PSRW https:t.coVlKvRPz
226,"A monstrous thread for Halloween! As obvious choices for campfire tales, stories about the Sasquatch and other North American cryptids are part of the oral tradition. But you can also find mentions of the fantastical creatures in old newspapers. https:t.coKzDUebtz"
227,"A mystery for the ages from our historical newspaper archive: In , a commercial schooner ran aground in North Carolina. The Coast Guard found everything in seemingly good order, but all occupants were gone. What happened to them? Read all about it: https:t.coxyxUNDuiyc https:t.coNkwIaF"
228,"A National Book Festival thread to celebrate the release of the full festival schedule! The basics: The FREE festival will be held on Saturday, August th at the Washington Convention Center in D.C., a.m. - p.m.    https:t.coQgemFPXiG NatBookFest https:t.cokkQCuSpuGR"
229,A new biography on Great Depression FSA photographer Russell Lee -- which draws on the Library's photography archives -- explores the paradoxes of a wealthy man whose focus on society's ills resulted in a body of work emblematic of the early th c. More: https:t.coTuVgNdeUf https:t.coorihIsVG
